"TICKER_BLOOMBERG","DESCRIPTION","COUNTRY","METALS","TYPE","UNITS"
SAMGGPMY Index,South Africa General purpose machinery y/y,Ex-China,Demand,Machinery,Units
SAMGEMY Index,South Africa Electrical y/y,Ex-China,Demand,Machinery,Units
SAMGSPMY Index,South Africa Special purpose Machinery,Ex-China,Demand,Machinery,Units
TUIOWME Index,Turkey,Ex-China,Demand,Machinery,Units
SFCDTOTL Index,Shanghai Futures Exchange Weekly Copper Deliverable Stocks,China,Copper,Stocks,metric tonne
LMCADS15 Comdty,LME COPPER    15MO ($),Global,Copper,Price,USD/MT
LMCADS27 Comdty,LME COPPER    27MO ($),Global,Copper,Price,USD/MT
LMCADS63 Comdty,LME COPPER    63MO ($),Global,Copper,Price,USD/MT
LMCAD123 Comdty,LME COPPER    123MO ($),Global,Copper,Price,USD/MT
CU3 COMB Comdty,SHFE Copper,Global,Copper,Price,CNY/MT
CECN00CU SMMC Index,"CIF, Phisical Premium",Global,Copper,Price,USD/MT
USDCNY REGN Curncy,USD/CNY,Global,Copper,Price,USD
CWTUSPOT Index,Copper Scrap Prices (#1 Wire & Tubing Scrap),Global,Copper,Price,USD/MT
LECA Index,LME Copper On Warrants,Global,Copper,Stocks,metric tonne
LFCA Index,LME Copper Cancelled Warrants,Global,Copper,Stocks,metric tonne
LP4 Comdty,LME Copper 4M,Global,Copper,Price Curve,USD/MT
LP5 Comdty,LME Copper 5M,Global,Copper,Price Curve,USD/MT
LP7 Comdty,LME Copper 7M,Global,Copper,Price Curve,USD/MT
LP8 Comdty,LME Copper 8M,Global,Copper,Price Curve,USD/MT
LP10 Comdty,LME Copper 10M,Global,Copper,Price Curve,USD/MT
LP11 Comdty,LME Copper 11M,Global,Copper,Price Curve,USD/MT
LP13 Comdty,LME Copper 13M,Global,Copper,Price Curve,USD/MT
LP14 Comdty,LME Copper 14M,Global,Copper,Price Curve,USD/MT
LP16 Comdty,LME Copper 16M,Global,Copper,Price Curve,USD/MT
LP17 Comdty,LME Copper 17M,Global,Copper,Price Curve,USD/MT
LP19 Comdty,LME Copper 19M,Global,Copper,Price Curve,USD/MT
LP20 Comdty,LME Copper 20M,Global,Copper,Price Curve,USD/MT
LP21 Comdty,LME Copper 21M,Global,Copper,Price Curve,USD/MT
LP22 Comdty,LME Copper 22M,Global,Copper,Price Curve,USD/MT
LP23 Comdty,LME Copper 23M,Global,Copper,Price Curve,USD/MT
LL24 Comdty,LME Lead 24M,Global,Lead,Price Curve,USD/MT
LA4 Comdty,LME Aluminium 4M,Global,Aluminium,Price Curve,USD/MT
LA5 Comdty,LME Aluminium 5M,Global,Aluminium,Price Curve,USD/MT
LA7 Comdty,LME Aluminium 7M,Global,Aluminium,Price Curve,USD/MT
LA8 Comdty,LME Aluminium 8M,Global,Aluminium,Price Curve,USD/MT
LA10 Comdty,LME Aluminium 10M,Global,Aluminium,Price Curve,USD/MT
LA11 Comdty,LME Aluminium 11M,Global,Aluminium,Price Curve,USD/MT
LA13 Comdty,LME Aluminium 13M,Global,Aluminium,Price Curve,USD/MT
LA14 Comdty,LME Aluminium 14M,Global,Aluminium,Price Curve,USD/MT
LA16 Comdty,LME Aluminium 16M,Global,Aluminium,Price Curve,USD/MT
LA17 Comdty,LME Aluminium 17M,Global,Aluminium,Price Curve,USD/MT
LA19 Comdty,LME Aluminium 19M,Global,Aluminium,Price Curve,USD/MT
LA20 Comdty,LME Aluminium 20M,Global,Aluminium,Price Curve,USD/MT
LA21 Comdty,LME Aluminium 21M,Global,Aluminium,Price Curve,USD/MT
LA22 Comdty,LME Aluminium 22M,Global,Aluminium,Price Curve,USD/MT
LA23 Comdty,LME Aluminium 23M,Global,Aluminium,Price Curve,USD/MT
LP24 Comdty,LME Copper 24M,Global,Copper,Price Curve,USD/MT
AA1 Comdty,SHFE Aluminium,China,Aluminium ,Price,CNY/MT
AACNPH01 Index,China Alumina EXW Price Daily,Global,Aluminium ,Price,CNY/metric tonne
AACNST01 Index,China Alumina Port Inventory Weekly,China,Alumina,Stocks,"10000 metric tonnes"
FPIPYOY Index,France Industrial Production YoY%,France,Demand,Industrial Production,%
KOIPIY Index,Korea Industrial Production YoY%,Korea,Demand,Industrial Production,%
AICNRN13 Index,China Aluminum Profile Large Producers Operating Rates Monthly,China,Aluminium,Utilization Rates,%
AICNRN19 Index,China Aluminum Construction Aluminum Extruders Operating Rates Monthly,China,Aluminium,Utilization Rates,%
AICNST09 Index,China Aluminum Inventories Total Weekly,Global,Aluminium,Stocks,"10000 metric tonnes"
ANO1 Comdty,Alumina Price,Global,Aluminium ,Price,CNY/MT
BXCIIQGN Index,China Customs Bauxite Import Quantity/Guinea,China,Bauxite,Trade,metric tonne
BXCIIQTL Index,China Customs Bauxite Total Import Quantity,China,Bauxite,Trade,metric tonne
BXCNSS04 Index,China Imported Bauxite Port Shipments from Guinea Weekly,China,Bauxite,Trade,"10000 metric tonnes"
BXCNST01 Index,China Imported Bauxite Port Inventory Weekly,China,Bauxite,Stocks,"10000 metric tonnes"
CALEEQTL Index,China Customs Unwrought Aluminum & Alloys Total Exports Quantity,China,Aluminium,Trade,USD/metric tonne
CALIIQTL Index,China Customs Unwrought Aluminum & Alloys Total Import Quantity,China,Aluminium,Trade,metric tonne
CAWIIQTL Index,China Customs Aluminum Waste & Scrap Total Imports Quantity,China,Aluminium,Trade,USD/metric tonne
CCUEEQTL Index,China Customs Total Copper Ores Export Quantity,China,Copper,Trade,USD/metric tonne
CCWEEQTL Index,China Customs Copper Waste Total Exports Quantity,China,Copper,Trade,USD/metric tonne
CCZIIQTL Index,China Customs Unwrought Zinc & Alloys Total Imports Quantity,China,Zinc,Trade,metric tonne
CECN00CU Index,China Copper Cathode 99.95% Premium/Discount,China,Copper,Premium,CNY/metric tonne
CHHEAVG Index,China 70 Cities Newly Built Commercial Residential Buildings Prices YoY Average,China,Demand,Civil and building construction,%
CHMMAIRR Index,China Industrial Output (Cumulative) - Air Conditioner,China,Demand,Air conditioning and refrigeration,Thousand
CHMMPAUC Index,China Industrial Output (Cumulative) - Primary Aluminum,China,Aluminium,Production,Thousand Tonnes
CHMMPAUM Index,China Industrial Output - Primary Aluminum,China,Aluminium,Production,Thousand Tonnes
CHMMRCOC Index,China Industrial Output (Cumulative) - Refined Copper,China,Copper,Refined Production,Thousand Tonnes
CHMMRCOP Index,China Industrial Output - Refined Copper,China,Copper,Refined Production,Thousand Tonnes
CHMMREFC Index,China Industrial Output (Cumulative) - Household Refrigerator,China,Demand,Air conditioning and refrigeration,Million
CHRECOMP Index,China Property - Floor Space of Buildings Completed,China,Demand,Civil and building construction,Million sq.m
CHRECORY Index,China Property - Floor Space of Completed Residential Buildings YoY,China,Demand,Civil and building construction,%
CHRENWRY Index,China Property - Floor Space of Houses Newly Started Residential Bldgs Cum YoY,China,Demand,Civil and building construction,%
CHRESPRY Index,China Property - Floor Space under Construction Residential Buildings YoY,China,Demand,Civil and building construction,%
CHXCFREE Index,China Industrial Output (Cumulative) - Freezers,China,Demand,Air conditioning and refrigeration,Thousand
SFZDTOTL Index,Shanghai Futures Exchange Zinc On Warrant Stocks Daily Total,China,Zinc,Stocks,metric tonne
CHXCMCMC Index,China Industrial Output - Cumulative - Metal-Cutting Machine,China,Demand,Machinery,Thousand
CMINCOPR Index,Chile Mineral Copper Export Data,Chile,Copper,Trade,Million USD
CNEVALUM Index,China Export Commodity Unwrought Aluminum & Aluminum Products,China,Aluminium,Trade,Thousand Tonnes
CNEVAUMA Index,China Export Commodity Volume - Alumina,China,Aluminium,Trade,Thousand Tonnes
CNFA3INY Index,China Fixed Assets Investment (Cumu) YoY- Infrastructure (excluding electricity),China,Demand,Civil and building construction,%
CNFACTY Index,China Fixed Assets Investment Construction Cumulative YoY,China,Demand,Civil and building construction,%
CNFAELEY Index,China Fixed Assets Investment (Cumu) YoY - Electric Equipment and Machinery,China,Demand,Power,%
CNFAESTY Index,China Fixed Assets Investment Real Estate Cumulative YoY,China,Demand,Civil and building construction,%
CNFAMFY Index,China Fixed Assets Investments Manufacturing Cumulative YoY,China,Demand,Industrial,%
CNFARTY Index,China FAI Railway Transportation Cumulative YoY,China,Demand,Civil and building construction,%
CNFAYOY Index,China Fixed Assets Investment (Excluding Rural Households) Cumulative YoY,China,Demand,Civil and building construction,%
CNIVALUM Index,China Import Commodity Volume Unwrought Aluminum & Aluminum Products,China,Aluminium,Trade,Thousand Tonnes
CNLETOTL Index,China Laterite Ore Inventory Total,China,Laterite,Stocks,"10000 metric tonnes"
CNOIIQTL Index,China Customs Nickel Ore Total Import Quantity,China,Nickel,Trade,metric tonne
CNVPBDEL Index,China Domestically Made Pure Electric Basic Passenger Car Production,China,Demand,Transport,Units
CNVPCDEL Index,China Domestically Made Pure Electric Passenger Car Crossover Production,China,Demand,Transport,Units
CNVPCMV Index,China Automobile Production Commercial Car,China,Demand,Transport,Units
CNVPMDEL Index,China Domestically Made Pure Electric Passenger Car MPV Production,China,Demand,Transport,Units
CNVPPSGR Index,China Automobile Production Passenger Car,China,Demand,Transport,Units
CNVPSDEL Index,China Domestically Made Pure Electric  SUV Production,China,Demand,Transport,Units
CNVPTHT Index,China Heavy-Duty Truck Production by Fuel Type - Total,China,Demand,Transport,Units
CNVPTTL Index,China Automobile Production Model Type Total,China,Demand,Transport,Units
CNVSCEPT Index,China Commercial NEV Production Volume - Electric,China,Demand,Transport,Units
CNVSCFPT Index,China Commercial NEV Production Volume - Fuel Cell,China,Demand,Transport,Units
CNVSCHPT Index,China Commercial NEV Production Volume - Plug-in Hybrid,China,Demand,Transport,Units
CNVSCMV Index,China Automobile Sales Commercial Car,China,Demand,Transport,Units
CNVSELPT Index,China Passenger NEV Production Volume - Electric,China,Demand,Transport,Units
CNVSFCPT Index,China Passenger NEV Production Volume - Fuel Cell,China,Demand,Transport,Units
CNVSHYPT Index,China Passenger NEV Production Volume - Plug-in Hybrid,China,Demand,Transport,Units
CNVSNPTL Index,China Passenger NEV Production Volume Total,China,Demand,Transport,Units
CNVSPSGR Index,China Automobile Sales Passenger Car,China,Demand,Transport,Units
CPMINDX Index,China Manufacturing PMI SA,China,Demand,Manufacturing PMI,Units
CPWIIVTL Index,China Customs Copper Waste & Scrap Total Imports Value,China,Copper,Trade,Units
CRZNIQTL Index,China Customs Refined Zinc Total Import Quantity,China,Zinc,Trade,metric tonne
CSTNSPCM Index,China Construction - Floor Space of Buildings Completed YTD,China,Demand,Civil and building construction,Thoursand SQ.M
CUCEEQTL Index,China Customs Refined Copper & Cooper Alloys Total Exports Quantity,China,Copper,Trade,metric tonne
CUCIIQTL Index,China Customs Refined Copper & Alloys Total Imports Quantity,China,Copper,Trade,metric tonne
CZINCEME Index,China Industrial Output YoY - Cement,China,Demand,Industrial,%
CZOIIQTL Index,China Customs Zinc Ore Total Import Quantity,China,Zinc,Trade,metric tonne
F5CNNP15 SMMC Index,China Nickel Pig Iron 8-12%,China,Nickel,Spot Treatment Charges,CNY/metric tonne unit (10kg)
LMCAY03 Comdty,LME COPPER SPOT 3MO SPRD,Global,Copper,Price,USD/MT
LMNIDY Comdty,LME NICKEL   SPOT ($),Global,Nickel,Price,USD/MT
LSCA Index,LME Copper Inventories (mt),Global,Copper,Stocks,metric tonne
LSZS Index,LME ZINC TOTAL,Global,Zinc,Stocks,metric tons
N2CNST08 SMMC Index,China Nickel Ore Inventories at Seven Ports Weekly,China,Nickel,Stocks,"10,000 Wet Metric Tonnes"
NAPMPMI Index,ISM Manufacturing PMI SA,US,Demand,Manufacturing PMI,Units
NICIIQTL Index,China Ferronickel Total Imports Quantity Monthly,China,Nickel,Trade,metric tonne
NICNST02 SMMC Index,China Refined Nickel Inventories Shanghai Bonded Zone Monthly,China,Nickel,Stocks,metric tonne
NIKLIDRP Index,Indonesia Nickel Refined Production,China,Nickel,Refined Production,metric tonne
NIKLMPID Index,Indonesia Nickel Mine Production,China,Nickel,Mine Production,metric tonne
NLSCA CATS%AMER Index,LME CLS Copper,Global,Copper,Stocks,metric tons
NLSNI Index,LME CLS Nickel,Global,Nickel,Stocks,metric tons
RALCEQTL Index,China Customs Refined Aluminum Total Export Quantity,China,Aluminium,Trade,metric tonne
RALCIQTL Index,China Customs Refined Aluminum Total Import Quantity,China,Aluminium,Trade,metric tonne
RNICEQTL Index,China Customs Refined Nickel Total Export Quantity,China,Nickel,Trade,metric tonne
RNICIQTL Index,China Customs Refined Nickel Total Import Quantity,China,Nickel,Trade,metric tonne
SFADTOTL Index,Shanghai Futures Exchange Weekly Aluminum Deliverable Stocks,China,Aluminium,Stocks,metric tonne
SFNDTOTL Index,Shanghai Futures Exchange Nickel On Warrant Stocks Daily Total,China,Nickel,Stocks,metric tonne
Z1CNHCOF AMTL Index,China Zinc Concentrate Treatment Charge 50% CIF,China,Zinc,Spot Treatment Charges,USD/metric tonne
Z1CNST01 SMMC Index,China Zinc Concentrate Inventory at Lianyungang Port Weekly,China,Zinc,Stocks,"10000 metric tonnes"
ZNA1 Comdty,SHFE Zinc,China,Zinc,Price,CNY/MT
ZNCNMQKY Index,China Zinc Premium Bill of Lading Shanghai CIF,China,Zinc,Premium,USD/metric tonne
ZNCNNFIM SMET Index,China Imported Zinc Ingot Premium in Shanghai,China,Zinc,Premium,CNY/metric tonne
CPMINORD Index,China New Orders PMI,China,Demand,Manufacturing PMI,Units
CPMINEXO Index,China New Exports Orders PMI,China,Demand,Manufacturing PMI,Units
CPMINDOD Index,China Backlog Of Orders PMI,China,Demand,Manufacturing PMI,Units
CPMIIRAM Index,China Inventories of Raw Materials PMI,China,Demand,Manufacturing PMI,Units
CPMIIFGS Index,China Stocks of Finished Goods PMI,China,Demand,Manufacturing PMI,Units
CPMIPROD Index,China Output PMI,China,Demand,Manufacturing PMI,Units
CPMIPRXP Index,China Input Prices PMI,China,Demand,Manufacturing PMI,Units
MPMIINMA Index,India PMI,India,Demand,Manufacturing PMI,Units
MPMIJPMA Index,Japan PMI,Japan,Demand,Manufacturing PMI,Units
AA3 Comdty,SHFE Aluminium 3M,China,Aluminium ,Price,CNY/MT
MPMIEZMA Index,Eurozone PMI,Eurozone,Demand,Manufacturing PMI,Units
MPMIDEMA Index,Germany PMI,Germany,Demand,Manufacturing PMI,Units
MPMIFRMA Index,France PMI,France,Demand,Manufacturing PMI,Units
SZPUI Index,Sweden PMI,Sweden,Demand,Manufacturing PMI,Units
MPMIKRMA Index,Korea PMI,Korea,Demand,Manufacturing PMI,Units
LX4 Comdty,LME Zinc 4M,Global,Zinc,Price Curve,USD/MT
LX5 Comdty,LME Zinc 5M,Global,Zinc,Price Curve,USD/MT
LX7 Comdty,LME Zinc 7M,Global,Zinc,Price Curve,USD/MT
LX8 Comdty,LME Zinc 8M,Global,Zinc,Price Curve,USD/MT
LX10 Comdty,LME Zinc 10M,Global,Zinc,Price Curve,USD/MT
LX11 Comdty,LME Zinc 11M,Global,Zinc,Price Curve,USD/MT
LX13 Comdty,LME Zinc 13M,Global,Zinc,Price Curve,USD/MT
LX14 Comdty,LME Zinc 14M,Global,Zinc,Price Curve,USD/MT
LX16 Comdty,LME Zinc 16M,Global,Zinc,Price Curve,USD/MT
LX17 Comdty,LME Zinc 17M,Global,Zinc,Price Curve,USD/MT
LX19 Comdty,LME Zinc 19M,Global,Zinc,Price Curve,USD/MT
LX20 Comdty,LME Zinc 20M,Global,Zinc,Price Curve,USD/MT
LX21 Comdty,LME Zinc 21M,Global,Zinc,Price Curve,USD/MT
LX22 Comdty,LME Zinc 22M,Global,Zinc,Price Curve,USD/MT
LX23 Comdty,LME Zinc 23M,Global,Zinc,Price Curve,USD/MT
