"TICKER_BLOOMBERG","DESCRIPTION","COUNTRY","METALS","TYPE","UNITS"
UBCASPOT SCMO Index,North America UBC Used Beverage Cans Aluminum Scrap Spot,North America,Aluminium,Price,USD/pound
ZORBSPOT SCMO Index,North America Zorba 90% NF Aluminum Scrap Spot,North America,Aluminium,Price,USD/pound
AMUSDEL HARA Index,US Midwest Aluminum Ingot Premium (Consumer - Supplier) Delivered,US,Aluminium,Premium,USD/pound
AMEUDDU HARA Index,European Rotterdam Aluminum Ingot Premium Duty Unpaid in Warehouse,Europe,Aluminium,Premium,USD/metric tonne
AMEUDDP HARA Index,European Rotterdam Aluminum Ingot Premium Duty Paid in Warehouse,Europe,Aluminium,Premium,USD/metric tonne
EXT6SPOT SCMO Index,North America 6063 Extrusions Aluminum Scrap Spot,North America,Aluminium,Price,USD/pound
NLEPB Index,LME Lead On Warrant Stocks Daily,Global,Lead,Stocks,metric tonne
NLFPB Index,LME Lead Cancelled On Warrant Stocks Daily,Global,Lead,Stocks,metric tonne
T1CNIM Index,China tin ore imports,China,Tin,Trade,metric tonne
T1CNIMMM Index,China tin ore imports from Myanmar,China,Tin,Trade,metric tonne
IDTNVOTL Index,Indonesia tin exports,Indonesia,Tin,Trade,metric tonne
MAEVTIN Index,Malaysia tin exports,Malaysia,Tin,Trade,metric tonne
PEMTTIN Index,Peru tin production,Peru,Tin,Mine Production,metric tonne
MATVITIN Index,Malaysia tin imports concentrate ($),Malaysia,Tin,Trade,MYR Million
NLESN Index,LME Tin On Warrant Stocks,Global,Tin,Stocks,metric tonne
NLFSN Index,LME Tin Cancelled On Warrant Stocks,Global,Tin,Stocks,metric tonne
NLEAH Index,LME On Warrant Aluminium,Global,Aluminium,Stocks,metric tons
NLFAH Index,LME Cancelled Warrant Aluminium,Global,Aluminium,Stocks,metric tons
NLEZS Index,LME On Warrant Zinc,Global,Zinc,Stocks,metric tons
NLFZS Index,LME Cancelled Warrant Zinc,Global,Zinc,Stocks,metric tons
NLENI Index,LME On Warrant Nickel,Global,Nickel,Stocks,metric tons
NLFNI Index,LME Cancelled Warrant Nickel,Global,Nickel,Stocks,metric tons
